,0
0,7367.0
1,7377.0
2,7379.0
3,7380.0
4,14623.0
5,14625.0
6,14626.0
7,14627.0
8,14628.0
9,14629.0
10,14630.0
11,7385.0
12,14632.0
13,14633.0
14,7386.0
15,14635.0
16,14638.0
17,14639.0
18,14640.0
19,14641.0
20,14642.0
21,14643.0
22,14644.0
23,14646.0
24,14647.0
25,14648.0
26,14649.0
27,14650.0
28,14651.0
29,14652.0
30,14653.0
31,14654.0
32,14655.0
33,14656.0
34,14657.0
35,14658.0
36,14659.0
37,14660.0
38,14661.0
39,14662.0
40,14663.0
41,14664.0
42,14666.0
43,14667.0
44,14668.0
45,14669.0
46,14670.0
47,14671.0
48,14672.0
49,14673.0
50,14674.0
51,14675.0
52,14676.0
53,14677.0
54,14678.0
55,14679.0
56,14680.0
57,14681.0
58,14682.0
59,14683.0
60,14684.0
61,14685.0
62,14686.0
63,14687.0
64,14688.0
65,14689.0
66,14690.0
67,14691.0
68,14692.0
69,14693.0
70,14694.0
71,14695.0
72,14697.0
73,14698.0
74,14700.0
75,14701.0
76,14702.0
77,14704.0
78,14705.0
79,14706.0
80,14707.0
81,14708.0
82,14710.0
83,14711.0
84,14713.0
85,14714.0
86,14717.0
87,14719.0
88,14722.0
89,14724.0
90,14725.0
91,14726.0
92,14728.0
93,14731.0
94,14732.0
95,14733.0
96,14734.0
97,14735.0
98,14737.0
99,14738.0
100,14739.0
101,14740.0
102,14741.0
103,14742.0
104,14743.0
105,14744.0
106,14745.0
107,14746.0
108,14747.0
109,14748.0
110,14749.0
111,14750.0
112,14751.0
113,14752.0
114,14753.0
115,14754.0
116,14755.0
117,14756.0
118,14757.0
119,14758.0
120,14759.0
121,14760.0
122,14761.0
123,14762.0
124,14763.0
125,14764.0
126,14765.0
127,20950.0
128,20952.0
129,20953.0
130,1325.0
131,18956.0
132,18958.0
133,18959.0
134,18960.0
135,18961.0
136,18962.0
137,18964.0
138,18965.0
139,18966.0
140,18967.0
141,18968.0
142,18969.0
143,18970.0
144,18971.0
145,18972.0
146,18973.0
147,18974.0
148,18975.0
149,18976.0
150,18978.0
151,18979.0
152,18980.0
153,18981.0
154,18982.0
155,18984.0
156,18985.0
157,18986.0
158,18987.0
159,18988.0
160,18989.0
161,18990.0
162,18991.0
163,18992.0
164,18993.0
165,18994.0
166,18995.0
167,18996.0
168,18997.0
169,18998.0
170,18999.0
171,19000.0
172,19001.0
173,19002.0
174,19003.0
175,19004.0
176,19006.0
177,19007.0
178,19008.0
179,19009.0
180,19010.0
181,19011.0
182,19012.0
183,19013.0
184,19014.0
185,1327.0
186,21101.0
187,21717.0
188,21722.0
189,21723.0
190,21725.0
191,8953.0
192,8954.0
193,8958.0
194,8959.0
195,8960.0
196,8963.0
197,8965.0
198,8966.0
199,15205.0
200,15206.0
201,17709.0
202,5313.0
203,5314.0
204,5315.0
205,5316.0
206,5317.0
207,5318.0
208,5319.0
209,5320.0
210,5321.0
211,5322.0
212,7369.0
213,7368.0
214,5323.0
215,7374.0
216,7373.0
217,7376.0
218,7371.0
219,7378.0
220,21715.0
221,21716.0
222,7381.0
223,21718.0
224,21719.0
225,7383.0
226,21721.0
227,7384.0
228,7382.0
229,7387.0
230,7388.0
231,21726.0
232,21727.0
233,21720.0
234,21729.0
235,21730.0
236,21731.0
237,21732.0
238,21724.0
239,21734.0
240,21735.0
241,21736.0
242,21728.0
243,21733.0
244,21739.0
245,21737.0
246,21738.0
247,1267.0
248,1268.0
249,1269.0
250,1270.0
251,1271.0
252,1272.0
253,1273.0
254,1274.0
255,1275.0
256,1276.0
257,1277.0
258,1278.0
259,1279.0
260,1282.0
261,1283.0
262,1284.0
263,1285.0
264,1286.0
265,1287.0
266,1288.0
267,1289.0
268,1290.0
269,1291.0
270,1292.0
271,1298.0
272,1299.0
273,1300.0
274,1301.0
275,1302.0
276,1303.0
277,1305.0
278,1306.0
279,1309.0
280,1312.0
281,1313.0
282,1314.0
283,1315.0
284,1317.0
285,1318.0
286,1319.0
287,1320.0
288,1321.0
289,1322.0
290,1323.0
291,1324.0
292,17707.0
293,1326.0
294,17706.0
295,1328.0
296,17710.0
297,17711.0
298,17715.0
299,17716.0
300,1333.0
301,17717.0
302,1329.0
303,1330.0
304,17721.0
305,17720.0
306,17714.0
307,3464.0
308,3465.0
309,3467.0
310,3468.0
311,3469.0
312,3470.0
313,3473.0
314,3475.0
315,3477.0
316,3482.0
317,3500.0
318,3502.0
319,3503.0
320,3504.0
321,3505.0
322,3506.0
323,3507.0
324,18088.0
325,18089.0
326,18092.0
327,18093.0
328,18094.0
329,18095.0
330,18096.0
331,18097.0
332,18098.0
333,18099.0
334,18100.0
335,18101.0
336,18102.0
337,18103.0
338,18104.0
339,16058.0
340,16059.0
341,16060.0
342,16063.0
343,16064.0
344,16065.0
345,16066.0
346,16067.0
347,16072.0
348,16073.0
349,16074.0
350,16076.0
351,16077.0
352,16078.0
353,16079.0
354,16080.0
355,16081.0
356,16082.0
357,16083.0
358,20191.0
359,20192.0
360,20193.0
361,20194.0
362,16099.0
363,16100.0
364,16101.0
365,16102.0
366,16104.0
367,16106.0
368,16107.0
369,16108.0
370,16109.0
371,16110.0
372,16111.0
373,16112.0
374,16113.0
375,16114.0
376,16115.0
377,16116.0
378,16117.0
379,16118.0
380,16119.0
381,16120.0
382,16121.0
383,16122.0
384,16123.0
385,16124.0
386,16125.0
387,16126.0
388,16127.0
389,16128.0
390,16130.0
391,16131.0
392,16132.0
393,16133.0
394,16134.0
395,16135.0
396,16136.0
397,16137.0
398,16138.0
399,16139.0
400,16140.0
401,16141.0
402,16143.0
403,16144.0
404,16145.0
405,16146.0
406,16147.0
407,16148.0
408,16149.0
409,16150.0
410,16152.0
411,16153.0
412,16154.0
413,16156.0
414,16157.0
415,16158.0
416,16159.0
417,16160.0
418,16161.0
419,16163.0
420,16164.0
421,16165.0
422,16167.0
423,16168.0
424,16169.0
425,16194.0
426,16195.0
427,16196.0
428,16197.0
429,16198.0
430,16199.0
431,16200.0
432,16201.0
433,16202.0
434,16203.0
435,16204.0
436,16205.0
437,16206.0
438,16207.0
439,16208.0
440,16209.0
441,16210.0
442,16211.0
443,16212.0
444,16213.0
445,16214.0
446,16215.0
447,16216.0
448,16217.0
449,16219.0
450,16220.0
451,16221.0
452,16222.0
453,16223.0
454,16224.0
455,16226.0
456,16227.0
457,16228.0
458,16229.0
459,16230.0
460,16231.0
461,16232.0
462,16233.0
463,16234.0
464,16236.0
465,16237.0
466,16238.0
467,16239.0
468,16240.0
469,16241.0
470,16242.0
471,16243.0
472,16244.0
473,16245.0
474,16247.0
475,16248.0
476,16249.0
477,16250.0
478,16251.0
479,16252.0
480,16253.0
481,16254.0
482,16256.0
483,16257.0
484,16258.0
485,16259.0
486,16260.0
487,16262.0
488,16263.0
489,16264.0
490,16265.0
491,16266.0
492,16268.0
493,20365.0
494,20366.0
495,20367.0
496,16269.0
497,16270.0
498,16273.0
499,16275.0
500,20368.0
501,16277.0
502,16278.0
503,16279.0
504,16280.0
505,16281.0
506,16282.0
507,16283.0
508,16284.0
509,16285.0
510,16286.0
511,16272.0
512,16274.0
513,16276.0
