,Element ID,Element Name,IWA ID,IWA Title,DWA ID,DWA Title_x,O*NET-SOC Code,Title,Task ID,Task,DWA Title_y,Date,Domain Source
787,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1013.00,Soil and Plant Scientists,9041.0,Conduct experiments regarding causes of bee diseases or factors affecting yields of nectar or pollen.,Research diseases or parasites.,03/2014,Analyst
788,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1021.00,Biochemists and Biophysicists,12933.0,"Develop or execute tests to detect diseases, genetic disorders, or other abnormalities.",Research diseases or parasites.,07/2015,Analyst
789,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1021.00,Biochemists and Biophysicists,12935.0,Study the mutations in organisms that lead to cancer or other diseases.,Research diseases or parasites.,03/2014,Analyst
790,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1022.00,Microbiologists,3678.0,"Investigate the relationship between organisms and disease, including the control of epidemics and the effects of antibiotics on microorganisms.",Research diseases or parasites.,03/2014,Analyst
791,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1023.00,Zoologists and Wildlife Biologists,1497.0,"Study characteristics of animals, such as origin, interrelationships, classification, life histories, diseases, development, genetics, and distribution.",Research diseases or parasites.,08/2024,Analyst
792,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1029.03,Geneticists,16823.0,"Evaluate, diagnose, or treat genetic diseases.",Research diseases or parasites.,03/2014,Analyst
793,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1041.00,Epidemiologists,5422.0,"Investigate diseases or parasites to determine cause and risk factors, progress, life cycle, or mode of transmission.",Research diseases or parasites.,03/2014,Analyst
794,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1042.00,"Medical Scientists, Except Epidemiologists",7515.0,"Evaluate effects of drugs, gases, pesticides, parasites, and microorganisms at various levels.",Research diseases or parasites.,03/2014,Analyst
795,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-1042.00,"Medical Scientists, Except Epidemiologists",7519.0,"Investigate cause, progress, life cycle, or mode of transmission of diseases or parasites.",Research diseases or parasites.,03/2014,Analyst
796,4.A.1.a.1,Getting Information,4.A.1.a.1.I16,Research biological or ecological phenomena.,4.A.1.a.1.I16.D02,Research diseases or parasites.,19-4012.00,Agricultural Technicians,5538.0,Conduct insect or plant disease surveys.,Research diseases or parasites.,03/2014,Analyst
855,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-1031.03,Park Naturalists,3696.0,Research stories regarding the area's natural history or environment.,Conduct historical research.,03/2014,Analyst
856,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-3091.00,Anthropologists and Archeologists,22255.0,Study archival collections of primary historical sources to help explain the origins and development of cultural patterns.,Conduct historical research.,11/2020,Analyst
857,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-3093.00,Historians,3717.0,"Organize data, and analyze and interpret its authenticity and relative significance.",Conduct historical research.,03/2014,Analyst
858,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-3093.00,Historians,3719.0,"Trace historical development in a particular field, such as social, cultural, political, or diplomatic history.",Conduct historical research.,03/2014,Analyst
859,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-3093.00,Historians,3720.0,"Conduct historical research as a basis for the identification, conservation, and reconstruction of historic places and materials.",Conduct historical research.,03/2014,Analyst
860,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-3093.00,Historians,3722.0,"Conduct historical research, and publish or present findings and theories.",Conduct historical research.,03/2014,Analyst
861,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-3093.00,Historians,3725.0,"Research the history of a particular country or region, or of a specific time period.",Conduct historical research.,03/2014,Analyst
862,4.A.1.a.1,Getting Information,4.A.1.a.1.I18,Research historical or social issues.,4.A.1.a.1.I18.D02,Conduct historical research.,19-3093.00,Historians,3729.0,"Research and prepare manuscripts in support of public programming and the development of exhibits at historic sites, museums, libraries, and archives.",Conduct historical research.,03/2014,Analyst
4604,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I01,Analyze environmental or geospatial data.,4.A.2.a.4.I01.D07,"Analyze physical, survey, or geographic data.",17-1012.00,Landscape Architects,20371.0,"Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans.","Analyze physical, survey, or geographic data.",03/2014,Analyst
4605,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I01,Analyze environmental or geospatial data.,4.A.2.a.4.I01.D07,"Analyze physical, survey, or geographic data.",17-1021.00,Cartographers and Photogrammetrists,3520.0,"Examine and analyze data from ground surveys, reports, aerial photographs, and satellite images to prepare topographic maps, aerial-photograph mosaics, and related charts.","Analyze physical, survey, or geographic data.",03/2014,Analyst
4606,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I01,Analyze environmental or geospatial data.,4.A.2.a.4.I01.D07,"Analyze physical, survey, or geographic data.",17-1022.00,Surveyors,3542.0,Analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation.,"Analyze physical, survey, or geographic data.",03/2014,Analyst
4607,4.A.2.a.4,Analyzing Data or Information,4.A.2.a.4.I01,Analyze environmental or geospatial data.,4.A.2.a.4.I01.D07,"Analyze physical, survey, or geographic data.",17-1022.01,Geodetic Surveyors,16300.0,"Assess the quality of control data to determine the need for additional survey data for engineering, construction, or other projects.","Analyze physical, survey, or geographic data.",03/2014,Analyst
