,task_id,title,label_JE,why,task,task_type
0,12865,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Collect fees, commissions, or other payments, according to contract terms.",Core
1,21163,"Agents and Business Managers of Artists, Performers, and Athletes",1,,"Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals.",Core
2,12870,"Agents and Business Managers of Artists, Performers, and Athletes",1,,Keep informed of industry trends and deals.,Core
3,12869,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.",Core
4,12866,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.",Core
5,12867,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.",Core
6,12868,"Agents and Business Managers of Artists, Performers, and Athletes",0,,Schedule promotional or performance engagements for clients.,Core
7,12873,"Agents and Business Managers of Artists, Performers, and Athletes",0,,Arrange meetings concerning issues involving their clients.,Core
8,12871,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.",Supplemental
9,12877,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Hire trainers or coaches to advise clients on performance matters, such as training techniques or performance presentations.",Supplemental
10,12874,"Agents and Business Managers of Artists, Performers, and Athletes",1,,Prepare periodic accounting statements for clients.,Supplemental
11,12876,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Obtain information about or inspect performance facilities, equipment, and accommodations to ensure that they meet specifications.",Supplemental
12,12875,"Agents and Business Managers of Artists, Performers, and Athletes",0,,"Advise clients on financial and legal matters, such as investments and taxes.",Supplemental
13,12878,"Buyers and Purchasing Agents, Farm Products",0,,"Purchase, for further processing or for resale, farm products, such as milk, grains, or Christmas trees.",Core
14,12880,"Buyers and Purchasing Agents, Farm Products",0,,Arrange for processing or resale of purchased products.,Core
15,12879,"Buyers and Purchasing Agents, Farm Products",0,,Negotiate contracts with farmers for the production or purchase of farm products.,Core
16,12881,"Buyers and Purchasing Agents, Farm Products",0,,Arrange for transportation or storage of purchased products.,Core
17,12883,"Buyers and Purchasing Agents, Farm Products",0,,"Maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.",Core
18,12882,"Buyers and Purchasing Agents, Farm Products",1,,Review orders to determine product types and quantities required to meet demand.,Core
19,12884,"Buyers and Purchasing Agents, Farm Products",0,,"Examine or test crops or products to estimate their value, determine their grade, or locate any evidence of disease or insect damage.",Supplemental
20,12885,"Buyers and Purchasing Agents, Farm Products",0,,"Coordinate or direct activities of workers engaged in cutting, transporting, storing, or milling products and maintaining records.",Supplemental
21,12887,"Buyers and Purchasing Agents, Farm Products",0,,"Sell supplies, such as seed, feed, fertilizers, or insecticides, arranging for loans or financing as necessary.",Supplemental
22,12889,"Buyers and Purchasing Agents, Farm Products",0,,Advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,Supplemental
23,12886,"Buyers and Purchasing Agents, Farm Products",1,,Calculate applicable government grain quotas.,Supplemental
24,12888,"Buyers and Purchasing Agents, Farm Products",0,,"Estimate land production possibilities, surveying property and studying factors such as crop rotation history, soil fertility, or irrigation facilities.",Supplemental
25,20710,"Wholesale and Retail Buyers, Except Farm Products",0,,Buy merchandise or commodities for resale to wholesale or retail consumers.,Core
26,20711,"Wholesale and Retail Buyers, Except Farm Products",0,,"Negotiate prices, discount terms, or transportation arrangements with suppliers.",Core
27,20712,"Wholesale and Retail Buyers, Except Farm Products",0,,"Examine, select, order, or purchase merchandise consistent with quality, quantity, specification requirements, or other factors, such as environmental soundness.",Core
28,20713,"Wholesale and Retail Buyers, Except Farm Products",1,,"Recommend mark-up rates, mark-down rates, or merchandise selling prices.",Core
29,20714,"Wholesale and Retail Buyers, Except Farm Products",0,,Obtain information about customer needs or preferences by conferring with sales or purchasing personnel.,Core
30,68,"Wholesale and Retail Buyers, Except Farm Products",0,,Authorize payment of invoices or return of merchandise.,Core
31,66,"Wholesale and Retail Buyers, Except Farm Products",1,,"Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns, company sales, and needed inventory.",Core
32,20715,"Wholesale and Retail Buyers, Except Farm Products",0,,Collaborate with vendors to obtain or develop desired products.,Core
33,20716,"Wholesale and Retail Buyers, Except Farm Products",0,,"Inspect merchandise or products to determine quality, value, or yield.",Core
34,72,"Wholesale and Retail Buyers, Except Farm Products",0,,Consult with store or merchandise managers about budgets or goods to be purchased.,Supplemental
35,77,"Wholesale and Retail Buyers, Except Farm Products",1,,"Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Supplemental
36,78,"Wholesale and Retail Buyers, Except Farm Products",1,,"Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Supplemental
37,79,"Wholesale and Retail Buyers, Except Farm Products",0,,Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Supplemental
38,19547,"Wholesale and Retail Buyers, Except Farm Products",1,,Analyze environmental aspects of competing merchandise when making buying decisions.,Supplemental
39,19548,"Wholesale and Retail Buyers, Except Farm Products",1,,Compare transportation options to determine the most energy-efficient options.,Supplemental
40,19549,"Wholesale and Retail Buyers, Except Farm Products",1,,Develop strategies to advertise green products or merchandise to consumers.,Supplemental
41,19550,"Wholesale and Retail Buyers, Except Farm Products",0,,"Identify opportunities to buy green commodities, such as alternative energy, water, or carbon-neutral products for resale to consumers.",Supplemental
42,19551,"Wholesale and Retail Buyers, Except Farm Products",1,,Monitor consumer preferences or environmental trends to determine the best way to introduce new green products.,Supplemental
43,1146,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,Monitor and follow applicable laws and regulations.,Core
44,1143,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,"Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.",Core
45,1147,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,"Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.",Core
46,1142,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,Purchase the highest quality merchandise at the lowest possible price and in correct amounts.,Core
47,1145,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.",Core
48,1159,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,Formulate policies and procedures for bid proposals and procurement of goods and services.,Core
49,1151,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,"Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories.",Core
50,1144,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,"Research and evaluate suppliers, based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history.",Core
51,1149,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,"Confer with staff, users, and vendors to discuss defective or unacceptable goods or services and determine corrective action.",Core
52,1150,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,Evaluate and monitor contract performance to ensure compliance with contractual obligations and to determine need for changes.,Core
53,1148,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods.",Core
54,1153,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.,Core
55,1157,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.",Core
56,1152,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.",Core
57,1158,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,,"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.",Core
58,1154,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,"Interview vendors and visit suppliers' plants and distribution centers to examine and learn about products, services, and prices.",Core
59,1155,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,,Arrange the payment of duty and freight charges.,Core
60,21417,"Claims Adjusters, Examiners, and Investigators",1,,Examine claims forms and other records to determine insurance coverage.,Core
61,21418,"Claims Adjusters, Examiners, and Investigators",1,,Analyze information gathered by investigation and report findings and recommendations.,Core
62,21426,"Claims Adjusters, Examiners, and Investigators",0,,Pay and process claims within designated authority level.,Core
63,21423,"Claims Adjusters, Examiners, and Investigators",0,,"Investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.",Core
64,21428,"Claims Adjusters, Examiners, and Investigators",1,,Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.,Core
65,21419,"Claims Adjusters, Examiners, and Investigators",1,,"Review police reports, medical treatment records, medical bills, or physical property damage to determine the extent of liability.",Core
66,21420,"Claims Adjusters, Examiners, and Investigators",0,,Investigate and assess damage to property and create or review property damage estimates.,Core
67,21421,"Claims Adjusters, Examiners, and Investigators",0,,Interview or correspond with agents and claimants to correct errors or omissions and to investigate questionable claims.,Core
68,21422,"Claims Adjusters, Examiners, and Investigators",0,,"Interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",Core
69,21429,"Claims Adjusters, Examiners, and Investigators",0,,"Enter claim payments, reserves and new claims on computer system, inputting concise yet sufficient file documentation.",Core
70,21425,"Claims Adjusters, Examiners, and Investigators",0,,"Resolve complex, severe exposure claims, using high service oriented file handling.",Core
71,21424,"Claims Adjusters, Examiners, and Investigators",0,,Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,Core
72,21432,"Claims Adjusters, Examiners, and Investigators",0,,Confer with legal counsel on claims requiring litigation.,Core
73,21427,"Claims Adjusters, Examiners, and Investigators",1,,"Examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.",Core
74,21434,"Claims Adjusters, Examiners, and Investigators",1,,"Maintain claim files, such as records of settled claims and an inventory of claims requiring detailed analysis.",Core
75,21430,"Claims Adjusters, Examiners, and Investigators",1,,Refer questionable claims to investigator or claims adjuster for investigation or settlement.,Core
76,21431,"Claims Adjusters, Examiners, and Investigators",0,,Collect evidence to support contested claims in court.,Core
77,21433,"Claims Adjusters, Examiners, and Investigators",0,,"Contact or interview claimants, doctors, medical specialists, or employers to get additional information.",Core
78,21435,"Claims Adjusters, Examiners, and Investigators",0,,Present cases and participate in their discussion at claim committee meetings.,Core
79,21439,"Claims Adjusters, Examiners, and Investigators",0,,"Report overpayments, underpayments, and other irregularities.",Core
80,21436,"Claims Adjusters, Examiners, and Investigators",0,,Supervise claims adjusters to ensure that adjusters have followed proper methods.,Supplemental
81,21437,"Claims Adjusters, Examiners, and Investigators",1,,Conduct detailed bill reviews to implement sound litigation management and expense control.,Supplemental
82,21440,"Claims Adjusters, Examiners, and Investigators",0,,Communicate with reinsurance brokers to obtain information necessary for processing claims.,Supplemental
83,21441,"Claims Adjusters, Examiners, and Investigators",1,,Prepare reports to be submitted to company's data processing department.,Supplemental
84,21438,"Claims Adjusters, Examiners, and Investigators",0,,Examine titles to property to determine validity and act as company agent in transactions with property owners.,Supplemental
85,21442,"Claims Adjusters, Examiners, and Investigators",0,,Obtain credit information from banks and other credit services.,Supplemental
86,21444,"Claims Adjusters, Examiners, and Investigators",0,,Communicate with former associates to verify employment record or to obtain background information regarding persons or businesses applying for credit.,
87,21445,"Claims Adjusters, Examiners, and Investigators",0,,Negotiate claim settlements or recommend litigation when settlement cannot be negotiated.,
