,task_id,task,title,task_type,label_MR
0,12865,"Collect fees, commissions, or other payments, according to contract terms.","Agents and Business Managers of Artists, Performers, and Athletes",Core,1
1,21163,"Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals.","Agents and Business Managers of Artists, Performers, and Athletes",Core,1
2,12870,Keep informed of industry trends and deals.,"Agents and Business Managers of Artists, Performers, and Athletes",Core,1
3,12869,"Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.","Agents and Business Managers of Artists, Performers, and Athletes",Core,0
4,12866,"Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.","Agents and Business Managers of Artists, Performers, and Athletes",,0
5,12867,"Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.","Agents and Business Managers of Artists, Performers, and Athletes",Core,0
6,12868,Schedule promotional or performance engagements for clients.,"Agents and Business Managers of Artists, Performers, and Athletes",Core,0
7,12873,Arrange meetings concerning issues involving their clients.,"Agents and Business Managers of Artists, Performers, and Athletes",Core,0
8,12871,"Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.","Agents and Business Managers of Artists, Performers, and Athletes",Supplemental,1
9,12877,"Hire trainers or coaches to advise clients on performance matters, such as training techniques or performance presentations.","Agents and Business Managers of Artists, Performers, and Athletes",Supplemental,0
10,12874,Prepare periodic accounting statements for clients.,"Agents and Business Managers of Artists, Performers, and Athletes",Supplemental,1
11,12876,"Obtain information about or inspect performance facilities, equipment, and accommodations to ensure that they meet specifications.","Agents and Business Managers of Artists, Performers, and Athletes",Supplemental,0
12,12875,"Advise clients on financial and legal matters, such as investments and taxes.","Agents and Business Managers of Artists, Performers, and Athletes",Supplemental,1
13,12878,"Purchase, for further processing or for resale, farm products, such as milk, grains, or Christmas trees.","Buyers and Purchasing Agents, Farm Products",Core,0
14,12880,Arrange for processing or resale of purchased products.,"Buyers and Purchasing Agents, Farm Products",Core,0
15,12879,Negotiate contracts with farmers for the production or purchase of farm products.,"Buyers and Purchasing Agents, Farm Products",Core,0
16,12881,Arrange for transportation or storage of purchased products.,"Buyers and Purchasing Agents, Farm Products",Core,0
17,12883,"Maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.","Buyers and Purchasing Agents, Farm Products",Core,1
18,12882,Review orders to determine product types and quantities required to meet demand.,"Buyers and Purchasing Agents, Farm Products",Core,1
19,12884,"Examine or test crops or products to estimate their value, determine their grade, or locate any evidence of disease or insect damage.","Buyers and Purchasing Agents, Farm Products",Supplemental,0
20,12885,"Coordinate or direct activities of workers engaged in cutting, transporting, storing, or milling products and maintaining records.","Buyers and Purchasing Agents, Farm Products",Supplemental,0
21,12887,"Sell supplies, such as seed, feed, fertilizers, or insecticides, arranging for loans or financing as necessary.","Buyers and Purchasing Agents, Farm Products",Supplemental,0
22,12889,Advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,"Buyers and Purchasing Agents, Farm Products",Supplemental,0
23,12886,Calculate applicable government grain quotas.,"Buyers and Purchasing Agents, Farm Products",Supplemental,1
24,12888,"Estimate land production possibilities, surveying property and studying factors such as crop rotation history, soil fertility, or irrigation facilities.","Buyers and Purchasing Agents, Farm Products",Supplemental,0
25,20710,Buy merchandise or commodities for resale to wholesale or retail consumers.,"Wholesale and Retail Buyers, Except Farm Products",Core,0
26,20711,"Negotiate prices, discount terms, or transportation arrangements with suppliers.","Wholesale and Retail Buyers, Except Farm Products",Core,0
27,20712,"Examine, select, order, or purchase merchandise consistent with quality, quantity, specification requirements, or other factors, such as environmental soundness.","Wholesale and Retail Buyers, Except Farm Products",Core,0
