,key,value
0,audio files,Audio Files
1,Audio Files,Audio Files
2,Audio files,Audio Files
3,Information,Information
4,information,Information
5,data files,Data Files
6,Data files,Data Files
7,Data Files,Data Files
8,PDFs,PDF
9,PDF,PDF
10,Documents,Text Documents
11,Text documents,Text Documents
12,Text Documents,Text Documents
13,video files,Video Files
14,Video files,Video Files
15,Video Files,Video Files
16,Videos,Video Files
17,Software Installation Files,Software Installation Files
18,images,Images
19,Images,Images
20,Configuration files,Configuration files
21,Network logs,Network logs
22,Server logs,Server logs
23,Certificates,Certificates
