Unnamed: 0,soc_code,task_id,task,task_type,title,human_exposure,gpt4_exposure,gpt4_alt_exposure,gpt_3_relevant,gpt4_automation,alpha,beta,gamma,automation,human_labels,SOC-2digit,SOC Title
1226,13-1011.00,12865.0,"Collect fees, commissions, or other payments, according to contract terms.",Core,"Agents and Business Managers of Artists, Performers, and Athletes",E0,E1,E0,True,T3,1.0,1.0,1.0,0.75,E0,13,Business and Financial Operations Occupations
1227,13-1011.00,21163.0,"Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals.",Core,"Agents and Business Managers of Artists, Performers, and Athletes",E0,E1,E2,False,T3,1.0,1.0,1.0,0.75,E0,13,Business and Financial Operations Occupations
1231,13-1011.00,12866.0,"Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.",Core,"Agents and Business Managers of Artists, Performers, and Athletes",E1,E2,E0,False,T1,0.0,0.5,1.0,0.25,E1,13,Business and Financial Operations Occupations
1234,13-1011.00,12873.0,Arrange meetings concerning issues involving their clients.,Core,"Agents and Business Managers of Artists, Performers, and Athletes",E1,E2,E0,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1235,13-1011.00,12871.0,"Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.",Supplemental,"Agents and Business Managers of Artists, Performers, and Athletes",E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1237,13-1011.00,12874.0,Prepare periodic accounting statements for clients.,Supplemental,"Agents and Business Managers of Artists, Performers, and Athletes",E1,E2,E0,True,T3,0.0,0.5,1.0,0.75,E1,13,Business and Financial Operations Occupations
1239,13-1011.00,12875.0,"Advise clients on financial and legal matters, such as investments and taxes.",Supplemental,"Agents and Business Managers of Artists, Performers, and Athletes",E1,E2,E1,True,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1250,13-1021.00,12886.0,Calculate applicable government grain quotas.,Supplemental,"Buyers and Purchasing Agents, Farm Products",E0,E1,E2,False,T3,1.0,1.0,1.0,0.75,E0,13,Business and Financial Operations Occupations
1251,13-1021.00,12888.0,"Estimate land production possibilities, surveying property and studying factors such as crop rotation history, soil fertility, or irrigation facilities.",Supplemental,"Buyers and Purchasing Agents, Farm Products",E1,E2,E0,True,T1,0.0,0.5,1.0,0.25,E1,13,Business and Financial Operations Occupations
1263,13-1022.00,77.0,"Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Supplemental,"Wholesale and Retail Buyers, Except Farm Products",E2,E1,E1,False,T3,1.0,1.0,1.0,0.75,E2,13,Business and Financial Operations Occupations
1267,13-1022.00,19547.0,Analyze environmental aspects of competing merchandise when making buying decisions.,Supplemental,"Wholesale and Retail Buyers, Except Farm Products",E1,E2,E2,True,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1268,13-1022.00,19548.0,Compare transportation options to determine the most energy-efficient options.,Supplemental,"Wholesale and Retail Buyers, Except Farm Products",E1,E2,E2,False,T3,0.0,0.5,1.0,0.75,E1,13,Business and Financial Operations Occupations
1269,13-1022.00,19549.0,Develop strategies to advertise green products or merchandise to consumers.,Supplemental,"Wholesale and Retail Buyers, Except Farm Products",E1,E2,E1,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1272,13-1023.00,1146.0,Monitor and follow applicable laws and regulations.,Core,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1277,13-1023.00,1159.0,Formulate policies and procedures for bid proposals and procurement of goods and services.,Core,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1279,13-1023.00,1151.0,"Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories.",Core,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",E1,E2,E1,True,T3,0.0,0.5,1.0,0.75,E1,13,Business and Financial Operations Occupations
1285,13-1023.00,1157.0,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.",Core,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",E2,E1,E2,False,T2,1.0,1.0,1.0,0.5,E2,13,Business and Financial Operations Occupations
1291,13-1031.00,21417.0,Examine claims forms and other records to determine insurance coverage.,Core,"Claims Adjusters, Examiners, and Investigators",E1,E2,E2,False,T3,0.0,0.5,1.0,0.75,E1,13,Business and Financial Operations Occupations
1292,13-1031.00,21418.0,Analyze information gathered by investigation and report findings and recommendations.,Core,"Claims Adjusters, Examiners, and Investigators",E1,E2,E2,True,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1300,13-1031.00,21429.0,"Enter claim payments, reserves and new claims on computer system, inputting concise yet sufficient file documentation.",Core,"Claims Adjusters, Examiners, and Investigators",E1,E1,E1,True,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1302,13-1031.00,21424.0,Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,Core,"Claims Adjusters, Examiners, and Investigators",E1,E2,E2,False,T3,0.0,0.5,1.0,0.75,E1,13,Business and Financial Operations Occupations
1314,13-1031.00,21440.0,Communicate with reinsurance brokers to obtain information necessary for processing claims.,Supplemental,"Claims Adjusters, Examiners, and Investigators",E0,E1,E1,False,T2,1.0,1.0,1.0,0.5,E0,13,Business and Financial Operations Occupations
1315,13-1031.00,21441.0,Prepare reports to be submitted to company's data processing department.,Supplemental,"Claims Adjusters, Examiners, and Investigators",E1,E1,E1,True,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1323,13-1032.00,7251.0,Prepare insurance forms to indicate repair cost estimates and recommendations.,Core,"Insurance Appraisers, Auto Damage",E1,E2,E1,True,T3,0.0,0.5,1.0,0.75,E1,13,Business and Financial Operations Occupations
1327,13-1041.00,21446.0,Warn violators of infractions or penalties.,Core,Compliance Officers,E1,E1,E0,False,T1,1.0,1.0,1.0,0.25,E1,13,Business and Financial Operations Occupations
1329,13-1041.00,21448.0,"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",Core,Compliance Officers,E1,E1,E2,False,T2,1.0,1.0,1.0,0.5,E1,13,Business and Financial Operations Occupations
1330,13-1041.00,21449.0,"Prepare reports of activities, evaluations, recommendations, or decisions.",Core,Compliance Officers,E1,E1,E1,False,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1331,13-1041.00,21450.0,Report law or regulation violations to appropriate boards or agencies.,Core,Compliance Officers,E2,E1,E0,False,T3,1.0,1.0,1.0,0.75,E2,13,Business and Financial Operations Occupations
1337,13-1041.00,21456.0,Score tests and observe equipment operation and control to rate ability of applicants.,Supplemental,Compliance Officers,E2,E1,E0,False,T1,1.0,1.0,1.0,0.25,E2,13,Business and Financial Operations Occupations
1338,13-1041.00,21457.0,Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,Supplemental,Compliance Officers,E1,E1,E1,True,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1339,13-1041.00,21458.0,Identify compliance issues that require follow-up or investigation.,,Compliance Officers,E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1341,13-1041.00,21460.0,Provide assistance to internal or external auditors in compliance reviews.,,Compliance Officers,E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1342,13-1041.00,21461.0,"Verify that all firm and regulatory policies and procedures have been documented, implemented, and communicated.",,Compliance Officers,E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1344,13-1041.01,10831.0,"Prepare, organize, and maintain inspection records.",Core,Environmental Compliance Inspectors,E1,E1,E1,True,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1348,13-1041.01,10837.0,"Inform individuals and groups of pollution control regulations and inspection findings, and explain how problems can be corrected.",Core,Environmental Compliance Inspectors,E1,E2,E1,False,T1,0.0,0.5,1.0,0.25,E1,13,Business and Financial Operations Occupations
1350,13-1041.01,10843.0,"Learn and observe proper safety precautions, rules, regulations, and practices so that unsafe conditions can be recognized and proper safety protocols implemented.",Core,Environmental Compliance Inspectors,E1,E0,E0,False,T1,0.0,0.0,0.0,0.25,E1,13,Business and Financial Operations Occupations
1353,13-1041.01,10833.0,"Prepare written, oral, tabular, and graphic reports summarizing requirements and regulations, including enforcement and chain of custody documentation.",Core,Environmental Compliance Inspectors,E1,E1,E1,False,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1360,13-1041.01,10844.0,Evaluate label information for accuracy and conformance to regulatory requirements.,Supplemental,Environmental Compliance Inspectors,E1,E1,E2,False,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1361,13-1041.01,10853.0,"Respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.",Supplemental,Environmental Compliance Inspectors,E1,E1,E1,False,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1364,13-1041.01,10845.0,"Inform health professionals, property owners, and the public about harmful properties and related problems of water pollution and contaminated wastewater.",Supplemental,Environmental Compliance Inspectors,E1,E2,E1,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1366,13-1041.01,10852.0,Conduct research on hazardous waste management projects to determine the magnitude of problems and treatment or disposal alternatives and costs.,Supplemental,Environmental Compliance Inspectors,E1,E2,E2,False,T2,0.0,0.5,1.0,0.5,E1,13,Business and Financial Operations Occupations
1368,13-1041.01,20473.0,Prepare data to calculate sewer service charges and capacity fees.,Supplemental,Environmental Compliance Inspectors,E2,E1,E2,True,T3,1.0,1.0,1.0,0.75,E2,13,Business and Financial Operations Occupations
1370,13-1041.03,20719.0,Prepare reports related to investigations of equal opportunity complaints.,Core,Equal Opportunity Representatives and Officers,E1,E1,E1,False,T3,1.0,1.0,1.0,0.75,E1,13,Business and Financial Operations Occupations
1372,13-1041.03,10867.0,Study equal opportunity complaints to clarify issues.,Core,Equal Opportunity Representatives and Officers,E1,E1,E2,False,T2,1.0,1.0,1.0,0.5,E1,13,Business and Financial Operations Occupations
1373,13-1041.03,10866.0,Interpret civil rights laws and equal opportunity regulations for individuals or employers.,Core,Equal Opportunity Representatives and Officers,E1,E1,E2,True,T2,1.0,1.0,1.0,0.5,E1,13,Business and Financial Operations Occupations
1375,13-1041.03,20722.0,Develop guidelines for nondiscriminatory employment practices.,Core,Equal Opportunity Representatives and Officers,E1,E1,E2,True,T2,1.0,1.0,1.0,0.5,E1,13,Business and Financial Operations Occupations
